Composition,Alloy_class,Dataset,temperature(K),Citation,log_H2_W% (max)
Ti1.125Zr0.125Cr0.9Mn1.1Mo0.1,MEA,Extracted,296,https://doi.org/10.3390/en13112751,0.9082585601768908
Ti1Cr1Mn0.85Fe0.1V0.05,MEA,Extracted,293,https://doi.org/10.1016/S0925-8388(98)00213-8,1.0367368849500223
Ti0.95Zr0.05Mn1.3Cr0.5V0.2,MEA,Extracted,293,https://doi.org/10.1016/j.jallcom.2021.160035,1.0473189942805592
Ti0.825Zr0.225Cr1Fe1,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,0.9360933591703349
Ti0.85Zr0.25Cr1.1Fe0.9,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,0.9555114450274363
Zr0.63Ti0.42Fe1.3Mn0.7,MEA,Extracted,248,https://doi.org/10.1016/j.ijhydene.2019.11.242,0.9082585601768908
Ti0.95Zr0.07Mn1.15Cr0.7V0.15,MEA,Extracted,283,https://doi.org/10.1016/j.ijhydene.2021.10.106,1.0367368849500223
Ti0.93Zr0.07Mn1.15Cr0.7V0.15,MEA,Extracted,283,https://doi.org/10.1016/j.ijhydene.2021.10.106,1.0116009116784799
Ti0.68Zr0.32Mn1Cr1,MEA,Extracted,298,https://doi.org/10.1016/j.jallcom.2007.01.066,1.1216775615991057
Ti0.95Zr0.05Mn0.92Cr0.92V0.16,MEA,Extracted,283,https://doi.org/10.1016/j.ijhydene.2021.10.106,1.0043016091968684
Zr0.63Ti0.42Fe1.2Mn0.8,MEA,Extracted,248,https://doi.org/10.1016/j.ijhydene.2019.11.242,0.9400072584914712
Ti0.95Zr0.05Mn1.1Cr0.7V0.2,MEA,Extracted,293,https://doi.org/10.1016/j.jallcom.2021.160035,1.0331844833456545
Ti0.95Zr0.05Mn0.91Cr0.91V0.18,MEA,Extracted,283,https://doi.org/10.1016/j.ijhydene.2021.10.106,1.0043016091968684
Zr0.63Ti0.42Fe1.1Mn0.9,MEA,Extracted,248,https://doi.org/10.1016/j.ijhydene.2019.11.242,0.9439058989071284
Ti1.02Cr1.1Mn0.3Fe0.6La0.03,MEA,Extracted,303,https://doi.org/10.1016/j.jallcom.2017.10.075,1.000631880307906
Ti1.02Cr1.1Mn0.3Fe0.6Ho0.03,MEA,Extracted,243,https://doi.org/10.1016/j.jallcom.2017.10.075,0.9820784724121582
Ti1.02Cr1.1Mn0.3Fe0.6Ce0.03,MEA,Extracted,243,https://doi.org/10.1016/j.jallcom.2017.10.075,0.9631743177730056
Ti0.5Zr0.5Mn1Cr1,MEA,Extracted,298,https://doi.org/10.1016/j.jallcom.2018.10.179,1.0367368849500223
Ti0.94Zr0.06Mn1.1Cr0.7V0.2,MEA,Extracted,293,https://doi.org/10.1016/j.jallcom.2021.160035,1.0402767116551463
